image_id,object_id,object,object_type,object_boundboxed,caption_id
178045,20330,decorative white dresses,clothing,1,1
178045,20333,a dance,other,0,1
178045,20328,Mexican women,people,1,1
178045,20332,Four,other,1,0
178045,20328,brightly dressed women,people,1,0
178045,20331,long skirts,clothing,1,0
178045,20334,the sunlight,other,0,0
178045,20337,trees,other,1,0
178045,20335,part of a parade,people,1,1
178045,20336,their movements,other,0,0
178045,20329,a crowd,people,1,4
178045,20330,white dresses,clothing,1,4
178045,20328,Mariachi dancers,people,1,4
178045,20331,their flowing skirts,clothing,1,3
178045,20328,A group of traditional Mexican dancers,people,1,3
178045,20329,an audience,people,1,2
178045,20338,outdoors,scene,0,2
178045,20328,A number of identically costumed women,people,1,2
178045,0,the background,notvisual,0,0
301246,87264,a boat,vehicles/scene,1,1
301246,87261,the street,scene,0,4
301246,87259,Dock workers,people,1,0
301246,87262,ropes,other,1,0
301246,87262,ropes,other,1,4
301246,87260,a bridge,scene,1,0
301246,0,the background,notvisual,0,0
301246,87259,A group of people,people,1,1
301246,87259,Workers,people,1,4
301246,87261,the docks,scene,0,3
301246,87259,A group of men,people,1,3
301246,87261,a road,scene,0,2
301246,87262,a rope,other,1,2
301246,87263,Three men,people,1,2
301246,0,each other,notvisual,0,0
301246,87264,ship,other,1,0
301246,87260,a bridge,scene,1,1
2069887,26802,a likeness of a wizard,people,1,2
2069887,26802,A statue of a wizard,people,1,0
2069887,26803,a gnarled staff,other,1,0
2069887,26805,a stone wall,other,1,0
2069887,26806,the street,scene,1,2
2069887,26807,front,scene,0,0
2069887,26804,an offering,other,0,0
2069887,26802,"A statue of an old , bearded beggar",people,1,1
2069887,26808,a pointed hat,clothing,1,1
2069887,26803,an ornate stick,other,1,1
2069887,26801,a collection box,other,1,1
2069887,0,him,notvisual,0,1
2069887,26801,a small white pale,other,1,0
2069887,26801,A box,other,1,2
2069887,26802,Stone statue of a wizard,people,1,3
2069887,26803,his staff,other,1,3
2069887,26801,A small tub,other,1,4
2069887,26802,the statue,other,1,4
3001353,86497,a lot of people,people,1,2
3001353,86497,A lot of people,people,1,4
3001353,86498,the gourmet curry hut,scene,1,4
3001353,86497,Several people,people,1,0
3001353,86502,a banner,other,1,0
3001353,0,the background,notvisual,0,0
3001353,86497,A large crowd of people,people,1,1
3001353,86500,an open air food bazaar,scene,0,1
3001353,86498,Gourmet Curry Hut,scene,1,0
3001353,86501,little room,scene,0,3
3001353,86499,A packed market area,scene,0,3
3001353,86498,the gourmet curry hut,scene,1,2
3035057,89090,the window of a British Airways plane,other,1,3
3035057,89090,the copilot 's window,other,1,1
3035057,89088,A man,people,1,1
3035057,89088,A pilot,people,1,3
3035057,89092,two men,people,1,0
3035057,89089,a British Airways airplane,vehicles,1,0
3035057,89089,A plane,other,1,2
3035057,89089,a British Airways jet,scene,1,1
3035057,89088,a man,people,1,2
3035057,89089,A white British Airways plane,other,1,4
3035057,89091,the airstrip,other,0,4
3035057,89090,the cockpit window,other,1,2
3035057,89088,The pilot,people,1,0
3537322,0,them,notvisual,0,2
3537322,125790,tables,other,1,0
3537322,125783,A group of people,people,1,0
3537322,125786,attention,other,0,0
3537322,125789,something,other,0,0
3537322,125792,the left,scene,0,0
3537322,125783,Many people,people,1,1
3537322,125785,desks,other,1,1
3537322,125784,computers,other,1,1
3537322,125784,computer monitors,other,1,0
3537322,125787,geometric patterned drapes,other,1,1
3537322,125783,Many people,people,1,2
3537322,125785,long tables,other,1,2
3537322,125784,computers,other,1,4
3537322,125791,the front of the room,scene,0,3
3537322,125784,computers,other,1,3
3537322,125783,A group of individuals,people,1,3
3537322,125784,computers,other,1,2
3537322,125788,most,other,0,2
3537322,125793,windows,other,1,1
3537322,125783,Many people,people,1,4
3537322,0,them,notvisual,0,0
4183120,158312,People,people,1,0
4183120,158318,bleachers,people/scene,1,0
4183120,158314,some activity,other,0,0
4183120,0,them,notvisual,0,0
4183120,158317,a game,other,0,1
4183120,158313,a stadium,scene,0,1
4183120,158312,People,people,1,2
4183120,158312,bunches of teenagers,people,1,1
4183120,158313,the gym,scene,0,2
4183120,158316,Two kids,people,1,3
4183120,158313,a stadium,scene,0,3
4183120,158315,Many people,people,1,4
4183120,158313,the gym,scene,0,4
4183120,158314,something,other,0,2
4378823,165531,a pink dress,clothing,1,3
4378823,165529,A woman,people,1,0
4378823,165533,her cellphone,other,1,2
4378823,165530,a little girl,people,1,2
4378823,165531,a bright pink dress,clothing,1,2
4378823,165530,A little girl,people,1,3
4378823,165529,a woman,people,1,3
4378823,0,who,notvisual,0,0
4378823,165533,her cellphone,other,1,3
4378823,165529,A woman,people,1,4
4378823,165530,a toddler,people,1,4
4378823,165530,her daughter,people,1,0
4378823,165533,her cellphone,other,1,4
4378823,165532,a red poncho,clothing,1,0
4378823,0,who,notvisual,0,3
4378823,165533,her cellphone,other,1,0
4378823,165531,a costume,clothing,1,4
4378823,165533,her cellphone,other,1,1
4378823,165529,A woman,people,1,1
4378823,165531,a pink dress,clothing,1,0
4378823,165530,a little girl,people,1,1
4378823,165531,a pink dress,clothing,1,1
4378823,165529,A dark-haired woman,people,1,2
4378823,165532,a red flowered shawl,clothing,1,1
4386588,0,it,notvisual,0,0
4386588,165797,a peace,other,1,1
4386588,165795,A group of women,people,1,2
4386588,165797,a quilt,other,1,2
4386588,0,that,notvisual,0,2
4386588,165797,Peace Knits,other,1,2
4386588,165795,A crowd of people,people,1,3
4386588,165807,a lawn,scene,1,3
4386588,165796,a group of young and older people,people,1,1
4386588,165797,a Peace Knits sign,other,1,4
4386588,165796,A group of women quilters,other,1,0
4386588,165798,a man,people,1,0
4386588,165805,a red shirt,clothing,1,0
4386588,165803,a woman,people,1,0
4386588,165806,a white shirt,clothing,1,0
4386588,165797,a quilt,other,1,0
4386588,165804,the words,other,1,0
4386588,165797,Peace Knits,other,1,0
4386588,165797,a sign,other,1,3
4386588,165796,People,people,1,4
5526034,238275,a plane,other,1,3
5526034,238274,A crew,people,1,3
5526034,238275,a plane,other,1,4
5526034,238274,Men,people,1,4
5526034,238276,Groupe Air France,other,0,0
5526034,238275,one of the airplanes,vehicles,1,0
5526034,238278,flight,other,0,0
5526034,238279,mechanics,people,1,1
5526034,238275,a plane,other,1,1
5526034,238277,departure,other,0,1
5526034,238274,Airline workers,people,1,2
5526034,238275,a plane,other,1,2
5791568,243133,the street,scene,0,4
5791568,243131,A city worker,people,1,4
5791568,243134,a construction site,scene,0,3
5791568,243131,A man,people,1,3
5791568,243134,the construction site,scene,0,2
5791568,243133,the street,scene,0,2
5791568,0,the foreground,notvisual,0,0
5791568,0,him,notvisual,0,1
5791568,243131,A Construction worker,people,1,2
5791568,243133,a busy street,scene,0,0
5791568,243135,one,other,0,0
5791568,243132,a large Caterpillar bulldozer,vehicles,1,0
5791568,243131,City workers,people,1,0
5791568,243131,A man,people,1,1
5791568,243136,an orange vest,clothing,1,1
5791568,243133,the street,scene,0,1
5791568,243132,a bulldozer,vehicles,1,1
5791568,0,another,notvisual,0,0
5867606,244240,notes,other,1,2
5867606,244243,his kitchen,scene,0,4
5867606,244240,a note,other,1,4
5867606,244237,A man,people,1,4
5867606,244243,the workshop,scene,0,3
5867606,244242,his designs,other,0,3
5867606,244237,A craftsman,people,1,3
5867606,244240,a small piece of paper,other,1,2
5867606,244248,a gray shirt,clothing,1,2
5867606,244243,office,scene,0,0
5867606,244237,male,people,1,0
5867606,244244,approximately 38 years,other,0,0
5867606,244238,design table,other,1,0
5867606,244237,A man,people,1,1
5867606,244238,a counter,other,1,1
5867606,244240,a paper,other,1,1
5867606,244247,tools,other,1,1
5867606,0,himself,notvisual,0,1
5867606,244237,A man,people,1,2
5867606,244237,Graphics Designer,people,1,0
5867606,244240,a piece of paper,other,1,4
5958182,246004,A cart,vehicles,1,4
5958182,246003,the animal,animals,1,4
5958182,246003,A brown beast of burden,other,1,0
5958182,246006,midair,scene,0,0
5958182,246004,the cart,vehicles,1,0
5958182,0,it,notvisual,0,0
5958182,0,which,notvisual,0,0
5958182,246008,the sand,other,1,0
5958182,246004,An overloaded wagon,vehicles,1,1
5958182,246011,white boxes tips,scene,1,1
5958182,246003,the mule,animals,1,1
5958182,246004,the wagon,vehicles,1,1
5958182,0,the air,notvisual,0,1
5958182,246010,various white packages,other,1,0
5958182,0,that,notvisual,0,2
5958182,246004,A cart,vehicles,1,2
5958182,246009,turns,other,0,3
5958182,0,it,notvisual,0,3
5958182,246004,a cart,vehicles,1,3
5958182,246003,A donkey,animals,1,3
5958182,0,the air,notvisual,0,2
5958182,0,air,notvisual,0,3
5958182,0,it,notvisual,0,2
5958182,0,that,notvisual,0,2
5958182,246003,the donkey,animals,1,2
5958182,246007,backwards,other,0,2
5958182,0,it,notvisual,0,2
6338733,253109,a stop sign,other,1,1
6338733,253108,hat,clothing,1,0
6338733,253107,A crossing guard,people,1,1
6338733,253111,purple pants,clothing,1,1
6338733,253110,an orange crossing guard vest,clothing,1,0
6338733,253107,A husky women,people,1,2
6338733,253108,a hat,clothing,1,4
6338733,253112,traffic,vehicles,0,2
6338733,253107,a woman,people,1,3
6338733,253107,guard,people,1,3
6338733,253109,a stop sign,other,1,3
6338733,253107,A crossing guard,people,1,4
6338733,253109,a stop sign,other,1,0
6338733,253108,a red hat,clothing,1,2
6338733,253107,A woman,people,1,0
6901333,260850,an amusing story,other,0,0
6901333,260845,Three men,people,1,3
6901333,260844,a man,people,1,0
6901333,260854,his hands,bodyparts,1,0
6901333,260849,black baseball cap,clothing,1,4
6901333,260846,his friend,people,1,0
6901333,260848,a beard,bodyparts,1,0
6901333,260844,A man,people,1,1
6901333,260850,a light hearted discussion,other,0,3
6901333,260851,glasses,clothing,1,1
6901333,260850,a story,other,0,1
6901333,260852,two smiling men,people,1,1
6901333,260844,A bearded man,people,1,2
6901333,260849,a hat,clothing,1,2
6901333,260851,glasses,clothing,1,2
6901333,260852,two other men,people,1,2
6901333,260848,red facial hair,bodyparts,1,1
6901333,260845,two other men,people,1,4
6901333,260844,Man,people,1,4
10287332,821,Two men,people,1,0
10287332,824,the roof of a house,scene,1,0
10287332,824,a roof,scene,1,4
10287332,820,Three men,people,1,4
10287332,824,the roof of a house,scene,1,3
10287332,820,People,people,1,3
10287332,824,a roof,scene,1,2
10287332,826,work,other,0,2
10287332,823,one,other,1,2
10287332,822,a ladder,other,1,2
10287332,0,them,notvisual,0,1
10287332,822,a ladder,other,1,1
10287332,823,another man,people,1,1
10287332,824,a rooftop,scene,1,1
10287332,821,Two men,people,1,1
10287332,822,a ladder,other,1,0
10287332,823,another one,other,1,0
10287332,820,Three men,people,1,2
10350842,988,A man,people,1,0
10350842,991,red life jacket,clothing,1,0
10350842,994,a green shirt,clothing,1,0
10350842,990,a canoe,other,1,0
10350842,990,a canoe,other,1,4
10350842,991,a red life vest,clothing,1,4
10350842,991,a life jacket,clothing,1,1
10350842,992,a small boat,vehicles/scene,1,1
10350842,989,a lake,scene,1,1
10350842,993,a ferry,other,1,1
10350842,995,view,scene,0,1
10350842,988,A man,people,1,2
10350842,988,A balding man,people,1,3
10350842,991,a red life jacket,clothing,1,3
